DATE,Log_Return
2020-09-04,-0.012160186
2020-09-05,0.035324205
2020-09-06,0.013847783
2020-09-07,0.002414972
2020-09-08,0.006540295
2020-09-09,0.04131136
2020-09-10,0.0104924375
2020-09-11,0.005362101
2020-09-12,0.00074048626
2020-09-13,0.0030243641
2020-09-14,0.020306813
2020-09-15,-0.025664397
2020-09-16,0.005785241
2020-09-17,-0.0033670943
2020-09-18,-0.026730563
2020-09-19,0.019563112
2020-09-20,0.008177239
2020-09-21,-0.018568097
2020-09-22,0.0327589
2020-09-23,-0.00135554
2020-09-24,0.009902589
2020-09-25,0.0392309
2020-09-26,0.010135955
2020-09-27,0.010854444
2020-09-28,-0.010874077
2020-09-29,-0.004517472
2020-09-30,0.0008769756
2020-10-01,0.0069527747
2020-10-02,0.01852967
2020-10-03,0.011256357
2020-10-04,-0.0059563215
2020-10-05,-0.009763977
2020-10-06,-0.03717123
2020-10-07,-0.008610125
2020-10-08,0.020408439
2020-10-09,-0.009752413
2020-10-10,0.032439444
2020-10-11,-0.020924056
2020-10-12,-0.013503812
2020-10-13,0.022853471
2020-10-14,-0.00829552
2020-10-15,-0.014036772
2020-10-16,0.0072477716
2020-10-17,-0.06926711
2020-10-18,0.009189397
2020-10-19,-0.019318024
2020-10-20,0.039225854
2020-10-21,0.020932054
2020-10-22,0.010775615
2020-10-23,-0.0017685371
2020-10-24,-0.0002248297
2020-10-25,-0.02154071
2020-10-26,0.0013900017
2020-10-27,0.0036112831
2020-10-28,-0.016338864
2020-10-29,0.020180741
2020-10-30,-0.0066539617
2020-10-31,-0.014282131
2020-11-01,0.009466832
2020-11-02,0.012734343
2020-11-03,-0.01394697
2020-11-04,0.01897974
2020-11-05,-0.027078453
2020-11-06,0.029855821
2020-11-07,-0.001846431
2020-11-08,0.0013521226
2020-11-09,0.06773501
2020-11-10,-0.00036404302
2020-11-11,0.019026075
2020-11-12,-0.01567817
2020-11-13,-0.0036345688
2020-11-14,0.03362388
2020-11-15,-0.00029438685
2020-11-16,-0.0039513935
2020-11-17,0.025560902
2020-11-18,-0.025065262
2020-11-19,0.0028416393
2020-11-20,-0.0387666
2020-11-21,-0.008022428
2020-11-22,-0.021808479
2020-11-23,0.010621498
2020-11-24,-0.012998
2020-11-25,0.023524784
2020-11-26,-0.02435938
2020-11-27,-0.02471923
2020-11-28,0.001654614
2020-11-29,-0.027564505
2020-11-30,0.015068162
2020-12-01,-0.025746543
2020-12-02,-0.003831387
2020-12-03,-0.017203083
2020-12-04,-0.012217457
2020-12-05,0.0021538849
2020-12-06,-0.012665933
2020-12-07,0.019726537
2020-12-08,-0.023684204
2020-12-09,-0.008845878
2020-12-10,0.00013682648
2020-12-11,0.0016516505
2020-12-12,-0.029887425
2020-12-13,0.0037863967
2020-12-14,-0.016923456
2020-12-15,-0.01702731
2020-12-16,-0.00517937
2020-12-17,-0.007102678
2020-12-18,-0.023702255
2020-12-19,0.022538166
2020-12-20,0.023917196
2020-12-21,-0.008756735
2020-12-22,-0.023038616
2020-12-23,-0.015626831
2020-12-24,-0.03547525
2020-12-25,0.028693644
2020-12-26,-0.02222098
2020-12-27,-0.012514503
2020-12-28,-0.051935274
2020-12-29,0.058704317
2020-12-30,-0.054336186
2020-12-31,0.004674511
2021-01-01,0.024565337
2021-01-02,-0.030359708
2021-01-03,-0.0057563405
2021-01-04,-0.028736264
2021-01-05,-0.006738187
2021-01-06,-0.026545933
2021-01-07,0.027149087
2021-01-08,-0.01601489
2021-01-09,-0.00013716547
2021-01-10,0.0109429555
2021-01-11,-0.00690187
2021-01-12,-0.028976368
2021-01-13,0.019082662
2021-01-14,-0.016657652
2021-01-15,0.019551892
2021-01-16,-0.059936352
2021-01-17,0.03933294
2021-01-18,0.026746992
2021-01-19,0.008454739
2021-01-20,0.050192304
2021-01-21,-0.0506813
2021-01-22,0.002306244
2021-01-23,0.023571422
2021-01-24,-0.0028751213
2021-01-25,0.045934103
2021-01-26,-0.019955903
2021-01-27,0.014325374
2021-01-28,-0.035255067
2021-01-29,0.0322477
2021-01-30,0.042873945
2021-01-31,-0.019231766
2021-02-01,0.039359473
2021-02-02,0.035758797
2021-02-03,0.01006909
2021-02-04,0.007159631
2021-02-05,0.009935056
2021-02-06,0.015115169
2021-02-07,-0.012646434
2021-02-08,0.021283068
2021-02-09,-0.018009774
2021-02-10,0.0062796664
2021-02-11,0.0030464244
2021-02-12,0.04299469
2021-02-13,0.017856847
2021-02-14,0.03120166
2021-02-15,0.0147168245
2021-02-16,-0.001963642
2021-02-17,0.021435553
2021-02-18,0.021763328
2021-02-19,-0.010742687
2021-02-20,-0.013532828
2021-02-21,0.0041939146
2021-02-22,-0.002859797
2021-02-23,0.036624163
2021-02-24,0.05036245
2021-02-25,0.026746713
2021-02-26,-0.008513694
2021-02-27,-0.022168556
2021-02-28,0.03773301
2021-03-01,0.021281522
2021-03-02,0.030721685
2021-03-03,0.0017397774
2021-03-04,0.00620145
2021-03-05,0.025659673
2021-03-06,0.01483189
2021-03-07,-0.008610192
2021-03-08,0.024966752
2021-03-09,-0.014219168
2021-03-10,0.001286655
2021-03-11,0.015183371
2021-03-12,0.0107518425
2021-03-13,0.024810227
2021-03-14,0.021579659
2021-03-15,0.008996032
2021-03-16,-0.012515864
2021-03-17,0.02623484
2021-03-18,-0.02595395
