pipeline,seed,metric_name,scale,value
C,44,acf_lag6_std,OD,0.0192235470552197
C,44,acf_lag7_mean,OD,-0.4179253378239655
C,44,acf_lag7_std,OD,0.0123971271665173
C,44,acf_lag8_mean,OD,-0.3783508248630907
C,44,acf_lag8_std,OD,0.0122003416010392
C,44,acf_lag9_mean,OD,-0.2436709048031876
C,44,acf_lag9_std,OD,0.0140357419314859
C,44,dtw_mean,OD,0.3203894938698965
C,44,dtw_median,OD,0.178230177277225
C,44,dtw_std,OD,0.4407803869305204
C,44,emd,transformed,0.0153800278631635
C,45,emd,OD,0.0185330549928527
C,45,moment_mean,OD,1.414641317162306
C,45,moment_std,OD,0.8841671079399789
C,45,moment_skewness,OD,1.3272598790095098
C,45,moment_kurtosis,OD,0.682741210043639
C,45,acf_lag0_mean,OD,1.0
C,45,acf_lag0_std,OD,0.0
C,45,acf_lag1_mean,OD,0.6973321343487985
C,45,acf_lag1_std,OD,0.0155431667566236
C,45,acf_lag2_mean,OD,0.4090218905870231
C,45,acf_lag2_std,OD,0.0171036990671649
C,45,acf_lag3_mean,OD,0.1463694055994592
C,45,acf_lag3_std,OD,0.0109822751173905
C,45,acf_lag4_mean,OD,-0.0794572863673324
C,45,acf_lag4_std,OD,0.0117663340835612
C,45,acf_lag5_mean,OD,-0.2571978008286277
C,45,acf_lag5_std,OD,0.0230306254154853
C,45,acf_lag6_mean,OD,-0.3740393819789023
C,45,acf_lag6_std,OD,0.0185341684045169
C,45,acf_lag7_mean,OD,-0.4187685605546235
C,45,acf_lag7_std,OD,0.0108405147255997
C,45,acf_lag8_mean,OD,-0.3793259423884864
C,45,acf_lag8_std,OD,0.0107754827639042
C,45,acf_lag9_mean,OD,-0.2439344584173083
C,45,acf_lag9_std,OD,0.0122124970277778
C,45,dtw_mean,OD,0.5011051841390578
C,45,dtw_median,OD,0.1827612236743905
C,45,dtw_std,OD,1.1122367090619822
C,45,emd,transformed,0.015452645402447
C,46,emd,OD,0.0196324080888208
C,46,moment_mean,OD,1.4231991078499604
C,46,moment_std,OD,0.8943032980333776
C,46,moment_skewness,OD,1.3011036895820371
C,46,moment_kurtosis,OD,0.5602513273159189
C,46,acf_lag0_mean,OD,1.0
C,46,acf_lag0_std,OD,0.0
C,46,acf_lag1_mean,OD,0.6974576569056455
C,46,acf_lag1_std,OD,0.016439779888217
C,46,acf_lag2_mean,OD,0.4093470154144043
C,46,acf_lag2_std,OD,0.0162164544156576
C,46,acf_lag3_mean,OD,0.1463482089226061
C,46,acf_lag3_std,OD,0.0089489365599127
C,46,acf_lag4_mean,OD,-0.0796184846543796
C,46,acf_lag4_std,OD,0.0110814265485479
C,46,acf_lag5_mean,OD,-0.2565895861883489
C,46,acf_lag5_std,OD,0.0215269855425069
C,46,acf_lag6_mean,OD,-0.3738948335161519
